com_insee,nbr_accidents,nbr_vehicules,nb_hommes,nb_femmes
14118,4,7,0,0
14143,1,1,0,0
14162,1,2,0,0
14166,1,1,0,0
14167,1,2,0,0
14220,2,3,0,0
14228,1,2,0,0
14229,1,2,0,0
14243,1,2,0,0
14254,1,2,0,0
14258,1,2,0,0
14271,1,2,0,0
14333,1,2,0,0
14366,3,4,0,0
14371,1,1,0,0
14409,1,2,0,0
14430,1,2,0,0
14437,1,1,0,0
14528,1,2,0,0
14531,1,1,0,0
14536,2,3,0,0
14543,1,2,0,0
14620,1,2,0,0
14701,1,1,0,0
15012,1,2,0,0
15014,11,20,0,0
15055,1,2,0,0
15090,1,1,0,0
15092,1,2,0,0
15120,1,3,0,0
15152,1,1,0,0
15267,1,2,0,0
16015,2,4,0,0
16039,1,2,0,0
16069,1,1,0,0
16077,1,2,0,0
16078,1,1,0,0
16102,1,1,0,0
16128,1,1,0,0
16132,1,1,0,0
16166,1,2,0,0
16286,1,2,0,0
16312,1,2,0,0
16355,1,1,0,0
17028,2,3,0,0
17038,1,1,0,0
17050,1,2,0,0
17053,1,2,0,0
17058,1,2,0,0
17086,1,2,0,0
17140,1,2,0,0
17218,1,1,0,0
17236,1,2,0,0
17253,1,1,0,0
17299,1,2,0,0
17300,3,5,0,0
17306,3,5,0,0
17333,1,2,0,0
17344,1,1,0,0
17353,1,2,0,0
17380,1,3,0,0
17389,1,3,0,0
17407,1,1,0,0
17415,7,12,0,0
17438,1,2,0,0
17443,1,2,0,0
17452,1,1,0,0
17483,1,1,0,0
17485,1,2,0,0
18028,1,1,0,0
18033,5,7,0,0
18043,1,1,0,0
18082,1,2,0,0
18126,1,1,0,0
18134,1,1,0,0
18138,1,2,0,0
18207,1,2,0,0
18211,1,1,0,0
18230,1,2,0,0
19010,1,1,0,0
19028,1,1,0,0
19031,6,11,0,0
19123,1,1,0,0
19261,1,1,0,0
19273,1,1,0,0
19275,1,1,0,0
21003,1,1,0,0
21008,1,2,0,0
21016,1,3,0,0
21038,1,2,0,0
21054,1,2,0,0
21101,1,2,0,0
21135,1,2,0,0
21231,1,2,0,0
21243,1,3,0,0
21258,1,1,0,0
21263,1,2,0,0
21280,1,2,0,0
21347,1,2,0,0
21371,1,2,0,0
21406,1,2,0,0
21447,1,1,0,0
21455,1,1,0,0
21500,1,2,0,0
21606,2,4,0,0
21629,1,2,0,0
21642,1,1,0,0
21650,1,2,0,0
21688,1,2,0,0
21699,1,2,0,0
