com_insee,nbr_accidents,nbr_vehicules,nb_hommes,nb_femmes,grav_moyenne
23173,1,2,4,2,4.0
23193,1,1,1,0,2.0
24035,1,1,1,0,3.0
24037,4,6,5,3,3.0
24038,1,1,0,1,3.0
24055,1,1,2,0,4.0
24117,1,1,1,1,2.0
24138,1,2,2,0,3.0
24145,1,1,2,0,4.0
24167,1,1,1,1,3.0
24442,1,1,2,0,4.0
24463,1,2,2,0,4.0
24520,1,2,1,1,4.0
24525,1,2,2,0,3.0
24526,1,1,1,0,4.0
24550,1,1,1,0,3.0
25056,9,14,11,7,3.89
25097,2,2,4,0,3.5
25212,2,4,3,1,4.0
25304,1,1,1,0,3.0
25321,1,1,2,1,4.0
25328,1,1,2,0,3.0
25411,1,2,2,0,3.0
25424,1,2,1,2,4.0
25462,2,3,3,1,4.0
25505,1,2,3,0,4.0
25532,1,1,1,0,3.0
25547,1,1,1,2,4.0
26037,1,1,1,0,2.0
26038,1,1,1,0,3.0
26064,1,1,1,0,4.0
26118,1,1,1,0,3.0
26165,1,2,2,0,3.0
26170,1,2,2,0,3.0
26179,1,2,1,1,2.0
26198,5,9,8,2,3.6
26216,1,2,3,1,4.0
26220,1,2,1,1,3.0
26313,2,5,7,0,4.0
26324,1,3,2,1,4.0
26337,1,1,1,0,3.0
26338,1,2,2,0,3.0
26353,1,1,1,1,4.0
26357,1,1,2,0,3.0
26362,1,2,2,1,4.0
27019,1,2,2,0,4.0
27034,1,2,1,1,3.0
27100,1,3,1,3,2.0
27116,1,1,3,0,4.0
27123,1,2,2,0,4.0
27229,8,13,6,8,4.0
27243,1,1,1,0,4.0
27286,1,2,2,0,4.0
27287,1,1,1,0,2.0
27299,1,1,1,1,4.0
27375,2,4,1,3,4.0
27397,1,1,1,1,4.0
27493,1,2,2,0,2.0
27547,1,2,2,0,3.0
27562,3,6,4,2,4.0
27580,1,2,2,0,4.0
27681,3,4,3,2,3.67
27684,1,2,2,0,4.0
28048,1,1,1,1,3.0
28055,1,2,2,0,4.0
28098,1,2,1,2,3.0
28103,1,1,1,1,2.0
28113,1,1,0,1,3.0
28134,6,10,8,6,3.83
28171,1,2,2,1,4.0
28278,1,1,2,0,3.0
28363,1,2,1,1,3.0
28386,1,2,3,0,3.0
28387,1,1,1,0,3.0
28404,2,3,3,2,4.0
28409,1,2,3,0,4.0
29006,1,1,1,0,4.0
29008,1,1,0,1,4.0
29019,16,27,25,7,3.75
29023,1,1,1,1,3.0
29039,2,3,2,1,4.0
29047,1,1,1,0,3.0
29051,1,1,1,0,4.0
29061,1,2,6,2,4.0
29074,1,2,2,1,3.0
29081,1,2,2,1,4.0
29100,1,1,4,1,3.0
29150,1,1,1,0,3.0
29165,1,2,3,0,4.0
29170,1,1,1,0,4.0
29171,1,1,2,0,2.0
29174,2,3,4,2,4.0
29177,1,1,1,0,3.0
29196,1,1,2,0,4.0
29209,1,1,1,0,3.0
29212,2,3,2,1,3.5
29232,5,8,7,5,4.0
29300,1,1,4,0,4.0
2A004,9,18,13,11,4.0
2A041,1,1,1,0,4.0
2A064,1,2,2,1,4.0
2A130,1,1,1,1,4.0
2A139,1,1,0,2,4.0
2A215,1,2,2,0,3.0
2A247,3,6,5,2,3.33
2A271,2,4,3,1,4.0
2B033,1,2,1,0,4.0
2B037,2,3,3,1,3.5
2B050,2,2,2,1,3.5
2B120,2,4,4,0,4.0
2B123,1,2,1,1,3.0
